2025-06-10 15:46:35 startup archives unpack
2025-06-10 15:46:36 upgrade mariadb-common:all 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:36 status half-configured mariadb-common:all 1:11.4.5-1
2025-06-10 15:46:36 status unpacked mariadb-common:all 1:11.4.5-1
2025-06-10 15:46:36 status half-installed mariadb-common:all 1:11.4.5-1
2025-06-10 15:46:36 status triggers-pending mariadb-server:amd64 1:11.4.5-1
2025-06-10 15:46:36 status unpacked mariadb-common:all 1:11.8.1-4
2025-06-10 15:46:36 startup packages configure
2025-06-10 15:46:36 configure mariadb-common:all 1:11.8.1-4 <none>
2025-06-10 15:46:36 status unpacked mariadb-common:all 1:11.8.1-4
2025-06-10 15:46:36 status half-configured mariadb-common:all 1:11.8.1-4
2025-06-10 15:46:36 status installed mariadb-common:all 1:11.8.1-4
2025-06-10 15:46:36 startup archives unpack
2025-06-10 15:46:36 upgrade mariadb-server:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:36 status half-configured mariadb-server:amd64 1:11.4.5-1
2025-06-10 15:46:36 status unpacked mariadb-server:amd64 1:11.4.5-1
2025-06-10 15:46:36 status half-installed mariadb-server:amd64 1:11.4.5-1
2025-06-10 15:46:37 status triggers-pending kali-menu:all 2025.1.1
2025-06-10 15:46:37 status triggers-pending man-db:amd64 2.13.0-1
2025-06-10 15:46:37 status unpacked mariadb-server:amd64 1:11.8.1-4
2025-06-10 15:46:37 upgrade mariadb-server-core:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:37 status half-configured mariadb-server-core:amd64 1:11.4.5-1
2025-06-10 15:46:37 status unpacked mariadb-server-core:amd64 1:11.4.5-1
2025-06-10 15:46:37 status half-installed mariadb-server-core:amd64 1:11.4.5-1
2025-06-10 15:46:38 status unpacked mariadb-server-core:amd64 1:11.8.1-4
2025-06-10 15:46:38 upgrade mariadb-client-core:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:38 status half-configured mariadb-client-core:amd64 1:11.4.5-1
2025-06-10 15:46:38 status unpacked mariadb-client-core:amd64 1:11.4.5-1
2025-06-10 15:46:38 status half-installed mariadb-client-core:amd64 1:11.4.5-1
2025-06-10 15:46:38 status unpacked mariadb-client-core:amd64 1:11.8.1-4
2025-06-10 15:46:38 upgrade mariadb-client:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:38 status half-configured mariadb-client:amd64 1:11.4.5-1
2025-06-10 15:46:38 status unpacked mariadb-client:amd64 1:11.4.5-1
2025-06-10 15:46:38 status half-installed mariadb-client:amd64 1:11.4.5-1
2025-06-10 15:46:39 status unpacked mariadb-client:amd64 1:11.8.1-4
2025-06-10 15:46:39 upgrade libmariadb3:amd64 1:11.4.5-1 1:11.8.1-4
2025-06-10 15:46:39 status triggers-pending libc-bin:amd64 2.40-3
2025-06-10 15:46:39 status half-configured libmariadb3:amd64 1:11.4.5-1
2025-06-10 15:46:39 status unpacked libmariadb3:amd64 1:11.4.5-1
2025-06-10 15:46:39 status half-installed libmariadb3:amd64 1:11.4.5-1
2025-06-10 15:46:39 status unpacked libmariadb3:amd64 1:11.8.1-4
2025-06-10 15:46:39 upgrade python3.13-venv:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:39 status half-configured python3.13-venv:amd64 3.13.2-1
2025-06-10 15:46:39 status unpacked python3.13-venv:amd64 3.13.2-1
2025-06-10 15:46:39 status half-installed python3.13-venv:amd64 3.13.2-1
2025-06-10 15:46:39 status unpacked python3.13-venv:amd64 3.13.3-2
2025-06-10 15:46:39 upgrade python3.13-dev:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:39 status half-configured python3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:39 status unpacked python3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:39 status half-installed python3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:39 status unpacked python3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:39 upgrade python3.13:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:39 status half-configured python3.13:amd64 3.13.2-1
2025-06-10 15:46:39 status unpacked python3.13:amd64 3.13.2-1
2025-06-10 15:46:39 status half-installed python3.13:amd64 3.13.2-1
2025-06-10 15:46:39 status triggers-pending desktop-file-utils:amd64 0.28-1
2025-06-10 15:46:40 status unpacked python3.13:amd64 3.13.3-2
2025-06-10 15:46:40 upgrade libpython3.13-dev:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:40 status half-configured libpython3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:40 status unpacked libpython3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:40 status half-installed libpython3.13-dev:amd64 3.13.2-1
2025-06-10 15:46:40 status unpacked libpython3.13-dev:amd64 3.13.3-2
2025-06-10 15:46:40 upgrade libpython3.13:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:40 status half-configured libpython3.13:amd64 3.13.2-1
2025-06-10 15:46:40 status unpacked libpython3.13:amd64 3.13.2-1
2025-06-10 15:46:40 status half-installed libpython3.13:amd64 3.13.2-1
2025-06-10 15:46:41 status unpacked libpython3.13:amd64 3.13.3-2
2025-06-10 15:46:41 upgrade python3.13-minimal:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:41 status half-configured python3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status unpacked python3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status half-installed python3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status triggers-pending systemd:amd64 257.2-3
2025-06-10 15:46:41 status unpacked python3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:41 upgrade libpython3.13-minimal:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:41 status half-configured libpython3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status unpacked libpython3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status half-installed libpython3.13-minimal:amd64 3.13.2-1
2025-06-10 15:46:41 status unpacked libpython3.13-minimal:amd64 3.13.3-2
2025-06-10 15:46:42 upgrade libpython3.13-stdlib:amd64 3.13.2-1 3.13.3-2
2025-06-10 15:46:42 status half-configured libpython3.13-stdlib:amd64 3.13.2-1
2025-06-10 15:46:42 status unpacked libpython3.13-stdlib:amd64 3.13.2-1
2025-06-10 15:46:42 status half-installed libpython3.13-stdlib:amd64 3.13.2-1
2025-06-10 15:46:42 status unpacked libpython3.13-stdlib:amd64 3.13.3-2
